ax,ay,az,gx,gy,gz
-0.0776,0.0002,-1.0476,-2.7814,1.5178,-93.4451
0.0015,-0.0062,-1.0658,1.0841,8.3890,-93.2582
-0.0582,-0.0040,-0.9990,1.8019,11.6040,-96.5704
-0.0425,-0.0110,-0.9498,0.0673,10.7666,-96.6228
0.0782,-0.0122,-1.0269,-3.1253,2.9085,-114.2531
0.0848,-0.0286,-1.1611,-4.3814,2.8487,-150.4782
-0.0940,-0.0015,-1.0118,-3.1477,4.0973,-155.3755
-0.2913,0.2191,-1.0085,-4.5085,1.7944,-128.6534
-0.1375,0.0695,-1.0558,-18.9088,-32.3970,-95.3667
-0.0607,0.1185,-0.9522,-2.8412,-1.5253,-111.3670
-0.0972,-0.1039,-1.0707,8.0824,20.5612,-122.5822
-0.1118,-0.0618,-1.0278,-5.5104,-4.3291,-92.3012
0.0554,0.0062,-1.0444,-4.5982,-2.9758,-59.1341
0.0311,0.0745,-0.9984,-1.2411,3.9478,-69.0483
0.1056,-0.1498,-0.9639,-0.8075,3.1104,-83.4935
-0.1584,-0.0621,-1.0635,-6.2431,-6.3628,-89.5721
-0.1251,0.0587,-1.0239,-1.8991,1.9963,-76.9962
-0.0219,-0.0267,-1.0493,3.1403,12.1648,-61.1528
0.0197,-0.0623,-1.0157,-1.6524,2.2879,-47.5749
0.1270,-0.0599,-1.0277,2.0113,10.5872,-61.3995
-0.2078,0.0021,-1.0214,-1.4804,2.7814,-43.3281
-0.0475,-0.0241,-1.0498,-0.2318,5.8992,-1.5851
-0.1740,0.0052,-1.0082,2.2580,10.1460,5.7198
-0.0645,-0.0237,-1.0072,3.7010,13.1966,39.9860
-0.1023,-0.0048,-1.0143,5.8394,17.9144,62.4538
-0.1514,0.1430,-1.0121,-3.1926,-2.8038,71.5456
-0.0528,-0.0158,-0.9857,-1.0393,2.7888,85.2431
-0.0077,-0.0333,-1.0549,-0.2019,4.4711,92.6974
-0.0781,-0.0061,-0.9971,-0.3140,2.9309,103.7108
-0.2285,0.1114,-0.9377,-0.6056,4.4263,130.3506
-0.5364,-0.0498,-1.2110,-0.0150,-2.3253,189.0211
0.2123,0.1193,-0.8900,1.2860,2.9907,183.2191
0.0768,-0.0078,-1.0442,-1.1290,-0.7552,136.4667
-0.1421,-0.0910,-1.0902,-1.6299,-0.5757,128.3020
-0.3508,0.0358,-0.9693,3.7907,8.9572,149.2969
-0.2701,-0.1169,-1.1508,4.5459,5.6450,204.9916
0.1503,0.1044,-1.1069,-3.3945,-7.0282,219.6910
0.1489,0.1279,-0.9618,-14.1910,-22.3183,172.2282
0.1729,-0.0789,-1.0229,-9.8993,-11.9778,123.6140
0.0015,-0.0690,-1.1063,-14.7368,-22.1164,104.9220
-0.1061,-0.0507,-0.9356,-18.9088,-26.4754,136.1227
0.0118,-0.2103,-1.0904,-10.0488,-3.7907,140.5266
0.0159,-0.0510,-0.9601,-5.0020,4.0674,104.3015
0.0565,-0.0280,-0.9769,-4.1122,4.5384,74.4989
-0.1317,-0.0146,-1.0063,-4.0001,3.8132,55.2312
-0.0219,-0.0657,-1.0500,-4.0674,4.6805,87.4487
-0.0316,-0.0085,-1.0168,-5.3609,4.7777,119.9429
0.0452,-0.0265,-1.0520,-6.1758,5.0917,126.7393
0.1147,-0.0641,-1.0942,-4.9422,4.7029,113.0792
-0.0255,0.0234,-1.0292,-4.2094,4.8824,87.1123
-0.2565,-0.0458,-0.9475,-4.2094,4.2393,91.8900
-0.0291,-0.0264,-1.0291,-4.8524,3.9104,112.9671
0.0522,0.0137,-1.0485,-4.9048,5.3683,123.0309
-0.0441,-0.1078,-1.0967,-5.1366,5.8095,118.4625
-0.0358,-0.0794,-1.0073,-5.4506,4.4861,121.5205
0.0592,-0.0005,-1.0261,-5.2412,5.9366,116.2943
0.1343,0.0204,-1.0388,-4.7627,5.0020,103.3369
0.0281,-0.0344,-1.0308,-4.1721,4.1496,88.7796
-0.0795,-0.0688,-1.0140,-5.2113,4.5683,112.3839
-0.0930,0.0090,-1.0242,-8.2693,12.9274,159.3158
0.1605,-0.0544,-1.3480,-5.6749,11.0059,188.1912
-0.0003,0.0068,-1.0071,-6.5497,6.8413,182.0827
0.2564,-0.1367,-1.2969,-4.5982,7.9179,136.8629
0.0605,-0.0201,-1.1364,-4.4487,5.4730,105.9912
-0.0824,0.0067,-1.0549,-4.2468,5.8469,100.6528
-0.0303,-0.0337,-1.0475,-4.6057,5.4581,111.8007
-0.0097,-0.0162,-0.9988,-5.3683,5.4506,123.0981
-0.1187,0.1069,-0.8857,-5.5403,4.9123,121.1317
-0.0417,0.0408,-1.0300,-4.5609,4.9945,99.8079
0.0349,-0.0524,-1.0705,-3.0206,7.2824,83.8748
0.0267,-0.0729,-1.0504,-3.8431,6.9908,85.3403
0.0419,0.0251,-1.0154,-4.1347,5.5627,87.2543
-0.0123,-0.0475,-0.9930,-3.5739,5.8095,84.6225
-0.1115,0.0054,-1.0436,-3.6861,5.5702,90.9329
-0.0421,0.0606,-0.9930,-4.5384,5.6898,98.9705
0.0593,-0.0372,-1.0470,-3.8655,6.4226,99.3967
-0.1453,-0.0176,-1.0408,-4.2842,5.3459,101.2659
-0.3199,0.0035,-0.9211,-4.8898,5.6525,130.3357
-0.2169,0.2213,-0.9814,10.8788,42.7823,164.7664
0.1780,-0.0471,-1.3300,22.9538,50.9171,176.7068
-0.1169,0.0931,-0.7758,7.5067,17.3836,176.9461
0.3004,0.0718,-1.1432,0.1645,2.3926,159.6298
0.0258,-0.0559,-0.7817,0.5234,2.0187,126.2085
0.1718,-0.1138,-0.8943,-0.4262,2.4898,99.9948
0.1777,-0.0356,-1.0002,-0.6131,2.5795,52.1208
0.1104,-0.0481,-0.9886,-1.2112,3.5141,18.4976
0.0869,0.0043,-1.0240,-1.6075,3.1776,0.9869
-0.0527,-0.0131,-1.0132,-1.4954,3.5066,-0.7028
-0.0477,-0.0138,-1.0144,-1.5627,3.3870,-0.2617
0.0248,-0.0305,-1.0169,-1.7944,3.3197,-2.6991
0.0543,-0.0353,-1.0168,-2.0038,3.1178,-25.4810
-0.0092,-0.0229,-1.0430,-1.8169,3.2449,-39.0514
-0.0093,-0.0208,-1.0110,-2.1234,3.8730,-46.7824
0.0565,-0.0203,-0.9929,-2.4449,4.2543,-57.0406
0.0203,-0.0327,-1.0261,-2.7589,4.0749,-71.0371
0.1453,0.0583,-1.0677,-3.7534,4.1197,-93.6993
0.0329,0.0466,-1.0715,-3.5664,3.9403,-119.8233
0.0072,-0.0558,-1.1289,-3.1851,5.1141,-135.3676
0.0211,-0.0420,-0.8496,-4.8599,5.4805,-149.7530
-0.0160,-0.0203,-0.9202,-5.0992,5.8469,-158.5980
-0.0590,0.0912,-1.0489,-3.6412,3.7160,-153.6559
0.0104,0.1176,-1.0967,-3.5963,4.3889,-151.9736
-0.1006,0.0287,-0.9169,-3.7234,4.3889,-148.5492
-0.0729,0.0855,-0.9308,-5.4655,1.1739,-137.6181
-0.0340,0.0157,-1.0294,-3.7608,3.0431,-131.8684
-0.0125,0.0017,-1.0566,-1.0841,9.3086,-132.0404
-0.1090,0.0242,-0.8420,-3.7758,4.3440,-136.7657
-0.0493,-0.0376,-0.9666,-4.8300,0.4561,-130.3432
-0.0497,0.0407,-1.0507,-7.7086,-6.6992,-126.8814
-0.0417,0.0313,-1.0213,-9.3909,-11.1778,-118.1261
-0.0384,0.0265,-1.0616,-5.2786,-2.9459,-121.0944
-0.0028,0.0371,-1.2181,-7.5815,-9.0993,-129.9619
0.0362,0.0223,-0.9353,-1.6524,0.3664,-139.4200
-0.0245,0.0408,-1.0264,-2.2430,1.5327,-143.9809
-0.0231,0.0289,-0.9926,-1.4355,1.1514,-138.5901
-0.0612,-0.0333,-1.1311,1.0841,8.1348,-134.8143
0.0453,-0.0336,-0.8906,0.8299,4.9646,-143.6519
0.0306,0.0685,-0.9056,-0.5682,4.0898,-156.2279
-0.1060,0.0395,-1.0584,-0.9346,2.6543,-152.5343
-0.1081,0.0011,-0.9608,1.1888,7.3198,-133.9769
0.0103,0.0825,-1.2490,6.3852,15.9854,-118.2158
-0.0460,0.0240,-1.0590,2.4225,14.1013,-109.2885
-0.1150,0.0187,-1.0269,1.7870,14.2732,-99.1948
0.1063,-0.1823,-1.0080,-4.4337,1.9814,-91.9124
0.0349,-0.1258,-1.1809,-4.0973,2.0561,-100.5032
0.1289,-0.0006,-1.0071,-3.8356,2.5047,-112.8998
0.0225,-0.0701,-1.0186,-4.0150,3.8057,-131.9432
-0.0034,-0.0006,-1.0689,-3.2973,5.5254,-144.3248
-0.0800,0.0410,-1.0134,-4.1122,3.0954,-156.4746
-0.1085,0.0403,-1.0780,-4.2020,4.8450,-141.9023
-0.0716,0.0416,-1.0985,-2.7365,3.9029,-126.5898
