ax,ay,az,gx,gy,gz
-0.4561,0.7665,0.4909,19.2303,-17.2714,80.3383
-0.4698,0.7031,0.4656,12.7480,-2.3253,84.4655
-0.5079,0.6731,0.4445,4.0973,6.9534,78.9252
-0.5220,0.6920,0.4677,-4.8375,14.1237,76.7719
-0.5378,0.6508,0.5285,-19.6191,15.1181,66.3492
-0.5452,0.6167,0.5169,-16.2396,10.6096,62.0126
-0.5816,0.6210,0.4469,-14.9835,6.1534,54.2592
-0.7050,0.4847,0.3336,-32.7933,-1.3982,56.3527
-0.6676,0.5912,0.5776,-33.0998,-4.9496,53.1825
-0.6171,0.6094,0.5900,-13.5480,-11.2152,54.8499
-0.6075,0.5971,0.5261,1.9365,-7.3946,53.1676
-0.6487,0.5228,0.4628,5.6824,-4.9945,45.9375
-0.6540,0.5488,0.5027,3.2001,-6.9086,31.8961
-0.6585,0.5285,0.5350,-3.1403,-2.0561,14.9985
-0.6609,0.5246,0.5164,-5.5553,4.6132,1.6299
-0.6863,0.5590,0.4835,-4.2169,11.9928,-1.2785
-0.6722,0.5891,0.4755,-4.8898,11.0582,2.6468
-0.6592,0.5836,0.4849,-5.8469,13.7274,2.2206
-0.6454,0.5745,0.4982,-7.4619,11.8582,-3.5739
-0.6255,0.5557,0.5044,-6.8114,7.7086,-10.1012
-0.6070,0.5472,0.4900,-5.9142,7.2974,-22.6173
-0.6098,0.5679,0.4807,-7.5217,10.8040,-39.8364
-0.5986,0.5787,0.4946,-10.6245,10.4077,-53.6610
-0.5766,0.6167,0.4808,-11.7311,12.2620,-65.9454
-0.5638,0.6605,0.4533,-13.6900,17.3761,-76.3158
-0.5480,0.6821,0.4724,-18.0490,20.2771,-79.6355
-0.4985,0.6962,0.4984,-20.0079,20.7481,-84.3982
-0.4473,0.6763,0.5289,-20.8977,22.8267,-86.4244
-0.3790,0.6581,0.4588,-14.6396,33.3914,-104.3015
-0.3315,0.7418,0.3594,-13.9069,50.3563,-138.9340
-0.2639,0.8351,0.4846,-32.0680,49.3993,-163.4729
-0.2300,0.8902,0.4504,-40.6888,48.8086,-187.0473
-0.1711,1.0391,0.5011,-35.4550,62.2818,-200.1765
-0.1769,1.0994,0.5051,-33.7129,52.7190,-195.7353
-0.0807,1.0456,0.5522,-30.9914,33.0475,-172.4675
-0.0385,0.9478,0.5632,-13.4134,26.5202,-162.1794
-0.0447,0.8972,0.5411,11.9778,20.3220,-148.8258
-0.0349,0.9932,0.5095,36.7186,7.1553,-138.0518
0.1948,0.8696,0.5638,39.5747,-8.3142,-127.4796
0.1676,0.8129,0.5004,52.6442,-2.2804,-120.7729
0.1584,0.7797,0.4644,50.3264,-4.2767,-113.6923
0.2236,0.7679,0.4285,37.6233,-13.2265,-103.9052
0.3370,0.8163,0.4559,33.4512,-20.4865,-112.8101
0.4102,0.8067,0.4703,22.0267,-12.9349,-126.3879
